Date,Baseline Minimum Variance,Baseline Maximum Sharpe,Baseline Equal Weight,Quarterly Minimum Variance,Quarterly Maximum Sharpe,Quarterly Equal Weight,Risk Parity
2023-01-02,1.001233632253713,1.0095290415633233,1.0076379264774398,1.000742110159378,1.0121660064867044,1.0076379264774398,1.0059330095758305
2023-01-03,1.0036549057591262,1.0069403132727754,1.0065369815547889,1.0032728833590063,1.0121081518488733,1.0065369815547889,1.0055918098515098
2023-01-04,0.9949611572926123,0.993765124980514,0.9963411220362927,0.9958744424405063,0.9982236229017606,0.9963411220362927,0.9960752985947917
2023-01-05,0.9989155382130301,0.9920860970028327,0.9986812309772343,1.0014535372882254,0.9996924967896816,0.9986812309772343,0.9986344817691277
2023-01-06,0.9903791902632376,0.9890044084097651,0.9920645590108715,0.9928214776374352,0.9929010259827372,0.9920645590108715,0.9915654920491485
2023-01-09,1.0042428531109686,1.0086813695958847,1.0063059578521032,1.0070194236779397,1.0094766403521347,1.0063059578521032,1.0060138402685774
2023-01-10,0.9979904291035848,1.0016992120535213,0.9985640118555589,1.0021604293956494,1.0093592425891336,0.9985640118555589,0.9982299660177629
2023-01-11,0.9966152927635588,0.9916328717395763,0.9993943109292773,0.9998583598873347,1.0129298972850282,0.9993943109292773,0.9981047519783627
2023-01-12,0.9969036580839782,0.9873233078605719,0.9988019817796538,0.9997563647749231,1.0157938266405537,0.9988019817796538,0.9978166935891263
2023-01-13,1.0023932793301762,0.9934845098224585,1.0054361758788746,1.005150660409857,1.0234532237338856,1.0054361758788746,1.0041829173601657
2023-01-16,1.0028180630191341,0.9908187459504241,1.003328023036709,1.0058412590332069,1.0268523450459908,1.003328023036709,1.0028892951353459
2023-01-17,1.015461003066722,1.0021534517013904,1.0124699365506764,1.0182293868687036,1.0305201966704989,1.0124699365506764,1.012966390627653
2023-01-18,1.022888016620987,1.0075862203864743,1.0200271684664373,1.0249716150518744,1.0383908425294233,1.0200271684664373,1.0198944599661555
2023-01-19,1.0171889046478513,1.0054393688450172,1.0155033543002512,1.0186336002291188,1.0374344912408715,1.0155033543002512,1.0149854392087605
2023-01-20,1.0096464372919467,0.9976222528815206,1.0093063110507003,1.009600170874683,1.0308367028170649,1.0093063110507003,1.0084507368326114
2023-01-23,1.0204668530158196,1.0037376798904227,1.0127808145290527,1.020421581086593,1.0404828119162486,1.0127808145290527,1.013108794913786
2023-01-24,1.0213926669482132,1.0007669279415758,1.0106983554964741,1.0199476856017755,1.0344579350578091,1.0106983554964741,1.0117004031024517
2023-01-25,1.016997930436536,0.9956017088548877,1.0035034940352765,1.0175154848686816,1.0303151871081297,1.0035034940352765,1.0051984023298104
2023-01-27,1.0130799591529485,0.9882351657111026,0.9932757677650305,1.0155337201796613,1.0265248704846937,0.9932757677650305,0.9966345423674513
2023-01-30,1.0094889363041821,0.9841964908080416,0.9938680954132166,1.0111965147728792,1.0271340845558212,0.9938680954132166,0.9970946330212387
2023-01-31,1.0092674701201945,0.9914660218566083,0.9996314932920842,1.0110640905579764,1.031037463881619,0.9996314932920842,1.001848428171667
2023-02-01,1.014982299906016,0.9893953858378614,1.0007031634468828,1.0149408715757595,1.0293930996013463,1.0007031634468828,1.0037032138216868
2023-02-02,1.021579255119484,0.9901662410648302,1.0035489071782557,1.0212501593250798,1.0262732217816328,1.0035489071782557,1.007588321042829
2023-02-03,1.0355429925150579,1.0009396092511749,1.0154331565378556,1.0339273026855524,1.0414978180911538,1.0154331565378556,1.0198280672511078
2023-02-06,1.033752724581323,0.9958086074180701,1.0084828609284813,1.0333171714368987,1.0316858672624805,1.0084828609284813,1.0139894663938336
2023-02-07,1.026974727412087,0.98932262868231,1.0000786585017447,1.025760530996931,1.0168002053663578,1.0000786585017447,1.0066704762662202
2023-02-08,1.0302721483373103,0.9940123887290117,1.00513263669534,1.029012449533282,1.0256236265267433,1.00513263669534,1.011563463872606
2023-02-09,1.0326105484149801,0.9955284831551343,1.0074042745742136,1.0310885655224902,1.0294878933599503,1.0074042745742136,1.0139132697556426
