,ASIANPAINT.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS
2023-01-01,0.07524191984812169,0.0,5.542253010017222e-16,6.521871679771158e-16,0.0,8.676954894879976e-17,0.2294898488255972,3.0223769684922755e-17,2.386953711823417e-16,3.59455052858302e-17,0.15560419878803217,6.802214427151959e-16,6.035114055621706e-18,0.1304823685651629,1.3827102260299443e-16,6.810989891817175e-18,0.24999999999999964,0.15918166397308464,0.0,0.0
2023-04-01,3.4907799718046135e-17,9.747451195673183e-17,7.853484367216539e-17,0.02162859557998856,4.037805594113588e-17,1.4033555663001919e-16,0.08725339514554202,0.20544357441069988,0.0,0.048519498765878896,0.2105841464632453,0.0,2.749905223345023e-16,0.07098843509822926,4.8809891272798776e-17,4.9367969294769534e-17,0.20422780707026653,0.15135454746614985,8.037435603762169e-17,9.375181503818709e-17
2023-07-01,0.11437041828133723,1.3380118197024742e-16,7.263942543321607e-18,7.792371953055065e-18,7.02343774919931e-17,0.033411004545532794,0.021143231530473938,0.24999422215180464,3.3027792390466253e-16,0.08242113838451143,0.09015772609007626,2.599208482465878e-17,3.8977680951804685e-17,0.09870053359150752,7.633330752116437e-17,0.08124978251705117,0.07678725295329691,0.1517646899544084,3.113788989197088e-17,2.0723676554056184e-16
2023-10-01,0.0,0.016665192000934918,0.0,3.272257118780936e-18,0.0,0.02215573561399576,0.0,0.25,0.0,0.25,1.3951097569622681e-16,0.0,0.19694997683155333,0.053818156682610786,0.0,0.039850417274392494,0.10386121615426347,0.06669930544224974,2.2487112533946207e-16,5.26873529922701e-16
2024-01-01,1.8561059535738709e-16,0.05979541539779801,1.6606476297374794e-16,4.49419809416426e-16,1.8482022108689297e-16,1.0433564892153055e-16,7.31166183924746e-17,0.2249233445550118,0.0,0.2016087998235628,0.026490885661624296,0.0,0.24999999999999997,0.09811362576454084,1.5601485138251415e-16,7.972716471909113e-17,0.1390679287974634,4.760701596491248e-18,1.6624216861205132e-16,6.216175522921471e-16
2024-04-01,3.9425484874147607e-16,0.14205256316633103,1.2766290188256537e-15,4.823142202052365e-16,1.1315106781106186e-15,1.457334869090052e-16,0.0,0.12871500963630592,9.461443398588267e-16,0.13494118646208958,0.02969102580552761,5.067071586231256e-17,0.24999999999999994,0.06460021492974415,1.5849613848423606e-16,0.0,0.2499999999999998,0.0,0.0,6.339746285198313e-17
2024-07-01,3.812101579176202e-16,0.2085995902800289,0.0,0.0,1.01883696437298e-16,7.085005550437745e-16,4.287985128992021e-17,0.14543822697596406,0.0,7.391831676073287e-16,0.23869260782588037,0.0,0.1755025136872188,0.09975042829627864,0.0,0.0,0.13201663293463187,0.0,8.142106232415065e-16,7.183520610172913e-16
2024-10-01,2.0482588061434058e-17,0.12386361746798946,1.2998911928133882e-16,3.535955599110888e-17,6.356094164031243e-16,1.3415437666269948e-16,3.702214985925538e-16,0.1717403938858441,8.18449583548078e-17,3.855873254373158e-16,0.23619767923860166,1.605420321539861e-16,0.17241904115849402,0.08799399903872629,2.61904166797881e-16,8.555511607645964e-17,0.20778526921034507,2.0084300431417742e-16,2.703682343507378e-16,1.3406006688763242e-16
2025-01-01,2.5550428539374235e-16,0.11692703490624225,1.8735809686012435e-16,5.445829859394228e-16,4.329578034588343e-16,3.8911687585766917e-16,5.153901672375504e-16,0.2499999999999991,4.3149526776856323e-16,3.4587200279069487e-16,0.2309731270266193,1.351114043561562e-16,0.13819023246460438,0.03896109387796996,8.471862015989384e-16,1.7077018142113818e-16,0.22494851191457008,7.093915928803139e-16,4.396034976241573e-16,1.5506670293085606e-16
2025-04-01,3.418470741123234e-16,0.21771770888073605,6.146538676457996e-16,7.564135491114734e-16,6.440421919494341e-17,0.021170024838550818,2.439083735700274e-17,0.14434096887168665,1.8479395853199595e-18,3.7639710598550375e-16,0.2499999999999999,2.223290505082964e-16,0.20908582185902239,3.484696268512087e-17,8.610160183179291e-16,3.0642737079239013e-16,0.1576854755500034,6.790840044462281e-16,3.4918943908262244e-17,2.089591699713895e-18
2025-07-01,4.1094259109736686e-16,0.2499999999999997,2.540085691032644e-16,5.247948502824602e-16,5.267086928852268e-17,0.10223720875763836,2.231837919221276e-16,0.07163898301529452,1.1072090688975219e-16,0.09716373816630576,0.13979503832293452,0.0,0.10361000238933792,3.269228182363623e-17,0.0,7.101400029116727e-17,0.1950456392041424,6.748578657820373e-16,2.3111287570564485e-16,0.04050939014434598
2025-10-01,0.0,0.2499999999999993,0.0,0.028760633016641363,0.0,7.606935760165004e-17,5.674573694929008e-16,0.0,3.199752899658225e-16,0.07213717469846663,0.2088875821277405,0.0775637579402241,0.1412345973991281,0.0020874836623353456,0.0,9.318326435073574e-17,0.13992071863363253,3.006541958802598e-16,7.005958870751752e-17,0.07940805252183186
