Target Return,Volatility
0.16544110171874477,0.1362350928954541
0.16739948895411969,0.1362869931152738
0.16935787618949458,0.13640405372987283
0.1713162634248695,0.1365846649162403
0.1732746506602444,0.13683151013202038
0.1752330378956193,0.1371426050556108
0.17719142513099423,0.13752662232108057
0.17914981236636912,0.1379677376575735
0.18110819960174404,0.13846811844483384
0.18306658683711896,0.13902627786405156
0.18502497407249385,0.13964186522567637
0.18698336130786877,0.14031434318991037
0.18894174854324366,0.14104046447034532
0.19090013577861858,0.14182561488232578
0.19285852301399348,0.14266195793028272
0.1948169102493684,0.14355264809179485
0.19677529748474332,0.14449313720474863
0.1987336847201182,0.14548676394992546
0.20069207195549313,0.14652939851272045
0.20265045919086805,0.14761798985017818
0.20460884642624294,0.14875002904920231
0.20656723366161786,0.14992773835303796
0.20852562089699278,0.15115752504637114
0.21048400813236767,0.1524466109805872
0.21244239536774256,0.15379899321163512
0.21440078260311748,0.15522123369912189
0.2163591698384924,0.15671150868478184
0.2183175570738673,0.158270364816402
0.22027594430924222,0.15992526801972415
0.22223433154461714,0.1616716476749195
0.22419271877999203,0.1634907003147293
0.22615110601536695,0.165394729171807
0.22810949325074187,0.1673750277725033
0.23006788048611676,0.16942890635762498
0.23202626772149165,0.17158108325960622
0.2339846549568666,0.17385088708579882
0.2359430421922415,0.17624010632962336
0.23790142942761638,0.1787544560964736
0.2398598166629913,0.18140137962094358
0.24181820389836622,0.18427046580672518
0.24377659113374112,0.18737932714306138
0.24573497836911604,0.19071377462843644
0.24769336560449096,0.19427306319137075
0.24965175283986585,0.1980837936532776
0.25161014007524074,0.20231102470368129
0.2535685273106157,0.20704329803972055
0.2555269145459906,0.21225471871857168
0.25748530178136547,0.2182819724196398
0.2594436890167404,0.22762551072422227
0.2614020762521153,0.24138679361135815
