,Minimum Variance,Maximum Sharpe,Equal Weight,Nifty 50
4%,0.757318223584249,0.3426459155295888,1.280122913808463,0.7598108765188102
6%,0.5777123597887979,0.1823967900450966,1.1128006950598595,0.5933734532474491
8%,0.39810649599334663,0.022147664560604397,0.9454784763112556,0.4269360299760877
